episode,score,moving_avg_100,loss
1,-248.3409697770417,-248.3409697770417,0.9955548048019409
2,-192.21190219348827,-220.27643598526498,2.7699122428894043
3,-155.92854200771268,-198.82713799274757,2.4024689197540283
4,-140.63203916557094,-184.27836328595342,0.9241846799850464
5,-196.7921376305306,-186.78111815486886,2.0712716579437256
6,-120.3566054333286,-175.71036603461218,0.9274982810020447
7,-175.333963691292,-175.6565942712807,3.760845184326172
8,-140.50506999855307,-171.26265373718974,0.7193170189857483
9,-158.98665391572126,-169.89865375702658,2.0738627910614014
10,-269.63276911223386,-179.87206529254732,2.23209285736084
11,-16.297187390408965,-165.00162184689836,2.279764413833618
12,-71.46874054855395,-157.20721507203635,2.2699737548828125
13,-97.6777260108077,-152.62802360578797,0.7970871925354004
14,-362.81673526695494,-167.64150301015704,2.5154170989990234
15,-333.60458848163773,-178.70570870825574,2.698242425918579
16,-272.67279439758954,-184.57865156383912,1.1627216339111328
17,-286.787644048503,-190.59094523940757,1.0614550113677979
18,-76.61073906368937,-184.2587115629788,4.044292449951172
19,-122.03986116984265,-180.98403522649795,2.5264389514923096
20,-71.48149280223542,-175.50890810528483,2.6967570781707764
21,-21.175490202226968,-168.15969772894874,0.8061085939407349
22,-204.9253963370096,-169.83086584749697,1.481265664100647
23,-255.49577893880328,-173.55542728624943,2.1430206298828125
24,-182.55142804537616,-173.930260651213,1.8910229206085205
25,-143.93876559177852,-172.7306008488356,0.9930287003517151
26,-47.46084658268124,-167.91253337706044,1.384704351425171
27,-47.69249577605267,-163.45993939183793,2.489025354385376
28,20.97033638420504,-156.87314382840782,1.5038174390792847
29,-110.07443133167676,-155.25939512162398,1.0321569442749023
30,-195.4050534744664,-156.5975837333854,0.7796838283538818
31,-114.88942526218858,-155.2521592665726,2.3233702182769775
32,-114.91454920994254,-153.99160895230295,1.0163774490356445
33,-234.10960705273345,-156.41942707655843,1.0651904344558716
34,-120.0093491650115,-155.34854243210117,6.873422145843506
35,-87.00313866009478,-153.39581661004385,1.030493140220642
36,-102.55187176001617,-151.9834848086542,1.3897595405578613
37,-169.3832895219395,-152.45374980090514,3.182225227355957
38,-68.04252706826739,-150.23240183425676,0.953467845916748
39,-99.85476455233753,-148.9406675449768,0.8079269528388977
40,-69.23778498351042,-146.9480954809401,2.390286922454834
41,-126.34093245616991,-146.44548174862862,1.3646090030670166
42,-100.52068386667477,-145.3520341800107,1.9092533588409424
43,-93.33153364770304,-144.142255097864,2.887449264526367
44,-41.49252344789846,-141.80930665127386,3.378689765930176
45,-120.7913133709156,-141.34224013393256,5.879024505615234
46,-47.22529964576859,-139.2962196885377,8.482117652893066
47,-113.85931977452294,-138.75500905206928,3.3479182720184326
48,-172.2822146752183,-139.4534925025516,2.1444194316864014
49,-106.21017807261656,-138.77505751418556,3.8851308822631836
50,-50.779502755421255,-137.01514641901028,1.8058527708053589
51,-70.90130311315909,-135.71879655026808,1.9249951839447021
52,-124.44346973348036,-135.50196334225294,1.146254062652588
53,-172.41396033481635,-136.19841611569754,1.2133005857467651
54,-82.87026750305324,-135.21085780805598,1.525293231010437
55,-101.74917522765402,-134.60246357932138,0.9713501930236816
56,-130.12417166556017,-134.52249408086138,1.302603840827942
57,-65.71974817123015,-133.31542836314856,1.397560954093933
58,-95.70264097874228,-132.66693202893464,1.206432580947876
59,-101.73414255264188,-132.14264746153984,1.8736979961395264
60,-94.3449764321903,-131.51268627771736,1.057150959968567
61,-95.09098696326127,-130.91560923977545,2.7596800327301025
62,-108.20563011278207,-130.54931925385623,0.9143422245979309
63,-40.014785591555636,-129.11226316397844,1.1906960010528564
64,-207.35599646003556,-130.33482149672932,1.1731822490692139
65,-96.55147232167182,-129.8150776632669,2.5909719467163086
66,-72.5336734562346,-128.94717759952397,1.4631767272949219
67,-255.1998947877067,-130.83154651278045,2.4023773670196533
68,-77.71460398397195,-130.05041500500386,1.3615665435791016
69,-83.29682834414874,-129.3728267925277,1.7257740497589111
70,-90.30198692870415,-128.81467193733022,0.9281802177429199
71,-199.9291938229003,-129.816284921634,1.2286256551742554
72,-53.69230829171687,-128.7590074684407,1.1257164478302002
73,-94.00788745295276,-128.28296472850252,2.816873788833618
74,-184.58668196980148,-129.04382577230388,1.492568850517273
75,-155.0237790523672,-129.3902251493714,5.518929958343506
76,-126.67299024998778,-129.35447205859003,1.3127191066741943
77,-219.70319762806895,-130.52783213092093,1.6273252964019775
78,-175.11872528485316,-131.09951024827905,1.5929242372512817
79,-123.0549629129486,-130.9976805351736,1.0125298500061035
80,-147.16811347358896,-131.19981094690374,4.4108171463012695
81,-66.96148230357866,-130.4067451611837,1.24961519241333
82,-59.47087209361869,-129.5416735384085,0.9630873799324036
83,-176.0341113175171,-130.10182339116884,0.7100095748901367
84,-127.35637644116963,-130.06913949890694,1.9003063440322876
85,-83.71517112130678,-129.52379869446457,1.1421256065368652
86,-113.02772730198026,-129.33198391083104,1.8363063335418701
87,-167.99604362302688,-129.77639839028157,1.3647997379302979
88,-212.30789598459972,-130.71425631748977,1.3883452415466309
89,-22.541397519604004,-129.49883093773823,0.8710464239120483
90,-71.43176937339219,-128.85364136480106,0.98741215467453
91,-113.47085222165919,-128.6845997258654,2.872227668762207
92,-28.40533767279399,-127.59460774702768,2.0436861515045166
93,-182.2273689517495,-128.18205679223976,1.961601734161377
94,-97.92205567941578,-127.86014188678418,0.9717044830322266
95,-36.73708739409872,-126.90095183949273,1.902906060218811
96,-171.1359312685259,-127.36173287521184,2.20499849319458
97,-131.17326138650122,-127.40102698357565,2.9776206016540527
98,-46.28299128597085,-126.57329192543682,1.42350172996521
99,-49.519142655832304,-125.7949671853398,3.359593152999878
100,-82.7803325385443,-125.36482083887185,5.335361957550049
101,-28.155490488580426,-123.16296604598723,3.94954776763916
102,-49.04171735267108,-121.73126419757908,0.6822144389152527
103,-36.79093705397477,-120.5398881480417,2.1540045738220215
104,-50.31029351634283,-119.63667069154941,2.7166223526000977
105,-86.60753422526813,-118.53482465749677,9.408673286437988
106,-210.19201200004363,-119.43317872316393,1.4020187854766846
107,-79.64357410459507,-118.47627482729696,2.0854454040527344
108,-73.12737456114057,-117.80249787292283,1.1419057846069336
109,-117.21379687496714,-117.38476930251528,0.9050688147544861
110,-170.8307093378982,-116.39674870477194,4.828073501586914
111,-138.23585866693398,-117.6161354175372,4.167037487030029
112,-56.44226658012892,-117.46587067785295,2.160494565963745
113,-64.93493699433701,-117.13844278768825,2.7518773078918457
114,-87.63470445873749,-114.38662247960609,1.4815564155578613
115,58.54018324319176,-110.46517476235778,2.2485992908477783
116,-79.39757283754493,-108.53242254675733,3.8535540103912354
117,1.874294137394486,-105.64580316489835,2.3181192874908447
118,-7.027249937524985,-104.9499682736367,0.849494993686676
119,-177.0558797793992,-105.50012845973225,2.407240867614746
120,-32.691691855607075,-105.11223045026598,1.2152519226074219
121,-104.54398658192513,-105.94591541406297,1.5559825897216797
122,-85.18234406258316,-104.74848489131871,1.1301785707473755
123,-25.775754091386418,-102.45128464284453,2.9550344944000244
124,-59.071511935017085,-101.21648548174095,14.607043266296387
125,-7.749557240504018,-99.8545933982282,1.905513048171997
126,-34.94142935996297,-99.72939922600101,0.9665616154670715
127,-50.48955119161119,-99.75736978015662,1.597866415977478
128,-85.1876238242025,-100.8189493822407,2.7634005546569824
129,-46.94524790197434,-100.18765754794366,4.799983024597168
130,-63.68777636766586,-98.87048477687564,4.526937961578369
131,-73.2087009319894,-98.45367753357367,3.0848469734191895
132,-84.84977834128387,-98.15302982488707,1.6737244129180908
133,-111.98784254114547,-96.9318121797712,9.579753875732422
134,-61.86536727010152,-96.3503723608221,3.3621902465820312
135,-65.90244174648859,-96.13936539168604,1.9984763860702515
136,-82.77790878039903,-95.94162576188987,1.5457959175109863
137,-73.00406694285215,-94.97783353609898,0.7832943201065063
138,-112.7942921751852,-95.42535118716816,2.185267210006714
139,-31.676097215734615,-94.74356451380214,2.4603042602539062
140,-112.16154548946122,-95.17280211886167,1.9090490341186523
141,-40.469141214381956,-94.31408420644377,1.0310428142547607
142,-33.39249701914379,-93.64280233796846,2.0000102519989014
143,-59.9349389093049,-93.30883639058447,6.291861534118652
144,-216.6335980276914,-95.06024713638239,2.3802363872528076
145,-88.36181333289571,-94.7359521360022,1.63307785987854
146,-31.56966416561508,-94.57939578120067,5.025742053985596
147,-77.00977155360304,-94.21090029899148,5.221418380737305
148,-214.69540393681905,-94.6350321916075,2.068915843963623
149,-30.811701370881707,-93.88104742459014,2.0034191608428955
150,-59.65379046603341,-93.96979030169624,3.3340837955474854
151,-19.212244621793445,-93.45289971678258,2.695859909057617
152,-18.08543658514482,-92.3893193852992,3.0607383251190186
153,-39.282715508678805,-91.05800693703785,1.7270698547363281
154,-67.00168257295775,-90.89932108773688,2.3379130363464355
155,-141.03563004549983,-91.29218563591536,3.8320810794830322
156,-146.80409649925167,-91.45898488425227,1.916793704032898
157,-0.026345570626190806,-90.80205085824626,3.7711236476898193
158,-129.1708320440493,-91.13673276889931,1.682767391204834
159,-67.86431550178513,-90.79803449839075,1.199059247970581
160,12.21185759513287,-89.73246615811749,2.9724605083465576
161,-83.24864043408925,-89.61404269282576,1.6579711437225342
162,-27.688725393565804,-88.80887364563361,1.9698904752731323
163,-220.01552941092052,-90.60888108382727,2.053074598312378
164,-52.738845151298136,-89.0627095707399,2.8067173957824707
165,-85.73512482809349,-88.9545460958041,7.495099067687988
166,-74.57564597244502,-88.97496582096623,1.6844059228897095
167,-90.11945820374143,-87.32416145512657,4.640472888946533
168,-155.83169378735604,-88.1053323531604,1.8330512046813965
169,-53.64334702852938,-87.80879754000422,3.830644369125366
170,-64.04385872309652,-87.54621625794815,2.346677780151367
171,-43.97378849594814,-85.98666220467865,4.262765884399414
172,-138.62145204662886,-86.83595364222774,3.4951131343841553
173,-30.107309157890356,-86.19694785927713,6.6113972663879395
174,-44.663246168929774,-84.7977135012684,5.799221038818359
175,-44.90640306870401,-83.69653974143176,5.366759777069092
176,16.114864778679472,-82.2686611911451,2.1970741748809814
177,-72.49840404492322,-80.79661325531364,4.680850028991699
178,-39.74844227742272,-79.44291042523932,1.253366470336914
179,-49.10622760535982,-78.70342307216345,4.729375839233398
180,7.790279599142651,-77.15383914143612,3.517810106277466
181,-41.77013004356333,-76.90192561883597,6.155129909515381
182,-183.56888009319283,-78.14290569883173,1.1513983011245728
183,-7.433754376901651,-76.45690212942556,0.8607668876647949
184,-11.744894780932128,-75.3007873128232,0.6258541941642761
185,-64.75310038127432,-75.11116660542287,1.1921868324279785
186,37.32783054135695,-73.6076110269895,7.094101905822754
187,57.00703124992823,-71.35758027825995,1.4618620872497559
188,-37.07860281596895,-69.60528734657365,2.801361083984375
189,-45.168686645302536,-69.83156023783063,0.7856292128562927
190,57.733118229721285,-68.5399113617995,1.6134458780288696
191,-19.46962657207547,-67.59989910530365,1.9036682844161987
192,-63.85431891762756,-67.954388917752,1.2349648475646973
193,-310.26133426026513,-69.23472857083715,2.0430848598480225
194,-153.2381287087311,-69.7878893011303,4.7877607345581055
195,-20.287996211254075,-69.62339838930184,2.0506694316864014
196,18.506272707993634,-67.72697634953664,3.595243453979492
197,-21.356239999225153,-66.62880613566387,2.333139181137085
198,-145.61561584365137,-67.62213238124069,3.5795435905456543
199,17.31142839325273,-66.95382667074983,4.332381248474121
200,74.65538217954577,-65.37946952356894,1.7966573238372803
201,-164.60807379212613,-66.7439953566044,4.9042510986328125
202,-6.873385052897582,-66.32231203360666,1.846336007118225
203,-0.036858538935412605,-65.95477124845627,5.831742763519287
204,-34.348664416780856,-65.79515495746065,2.2643191814422607
205,-80.8161354448833,-65.7372409696568,4.419320106506348
206,-31.04204750554861,-63.94574132471185,3.069965362548828
207,-7.320121024456742,-63.22250679391047,4.911872863769531
208,-1.6100090979391126,-62.50733313927845,4.847644329071045
209,85.51336459266255,-60.48006152460215,2.190290927886963
210,-29.084362415642573,-59.0625980553796,2.6720166206359863
211,-130.06242425730844,-58.98086371128335,1.6328843832015991
212,-205.94768531668757,-60.47591789864893,1.6859471797943115
213,69.63883841714768,-59.13018014453409,1.7431297302246094
214,-76.02067871612229,-59.01403988710794,2.62324857711792
215,-71.51742250178312,-60.31461594455768,3.7938156127929688
216,-37.35631650656114,-59.89420338124784,5.966883182525635
217,39.75404392187773,-59.51540588340302,1.069863200187683
218,69.3223590515422,-58.75190979351234,3.4532675743103027
219,-50.731856069586954,-57.48866955641422,1.1268134117126465
220,-64.24873913699716,-57.80424002922812,1.5195364952087402
221,-70.06455471912781,-57.459445710600136,1.4971764087677002
222,-102.81349380754844,-57.63575720804978,1.9878684282302856
223,23.081407000877377,-57.147185597127155,2.9294915199279785
224,-15.285451556444116,-56.709324993341426,3.1604766845703125
225,-35.38408289184508,-56.98567024985483,3.361971855163574
226,14.98862888823814,-56.48636966737283,6.615578651428223
227,-14.69588038867917,-56.128432959343506,2.128166675567627
228,37.13339896122047,-54.90522273148928,0.5723023414611816
229,20.661756807919687,-54.229152684390336,2.3435566425323486
230,-193.21038921910042,-55.52437881290468,1.6604483127593994
231,82.33570933460618,-53.96893471023873,0.9950370192527771
232,-27.200797043787095,-53.39244489726376,3.726719856262207
233,21.17319814656462,-52.06083449038666,1.9549388885498047
234,-201.14822931328513,-53.45366311081849,3.206843614578247
235,18.70166532563083,-52.607622040097304,1.950847864151001
236,-3.3826576685253937,-51.81366952897855,0.609398603439331
237,11.844984284736723,-50.96517901670267,2.5748960971832275
