episode,score,moving_avg_100,loss
1,-206.08944375035782,-206.08944375035782,96.8432388305664
2,-116.88159333960026,-161.48551854497904,98.40550231933594
3,-122.59834456737654,-148.52312721911156,99.01703643798828
4,-179.08363282749946,-156.16325362120853,97.00627136230469
5,-227.65477811179738,-170.4615585193263,95.91498565673828
6,-2.8450701577376236,-142.5254771257282,99.11888122558594
7,-197.97092289986722,-150.44625509346233,98.51695251464844
8,-103.39848367870064,-144.56528366661712,98.6737060546875
9,-305.3679132788868,-162.43224251242486,100.87107849121094
10,-153.46261178724717,-161.5352794399071,99.77059936523438
11,-138.30972025898018,-159.42386496891373,98.66421508789062
12,-128.92732997547762,-156.88248705279406,101.6623306274414
13,-79.80920026337569,-150.95377268437727,102.88933563232422
14,-110.08791839777426,-148.03478309247703,103.67930603027344
15,-305.5250641431164,-158.53413516251968,96.92891693115234
16,-129.51512161293155,-156.7204468156704,99.63939666748047
17,-135.71495027023784,-155.48482937182143,101.94075012207031
18,-86.07200164242356,-151.62856116463266,101.31815338134766
19,-231.1577778585975,-155.81430941168344,98.23001861572266
20,-121.46343553599078,-154.0967657178988,100.78338623046875
21,-316.7008375467003,-161.83981675736555,94.16596984863281
22,-195.87877406893415,-163.38704208970955,103.09115600585938
23,-214.33539043613652,-165.602187669989,101.10358428955078
24,-168.1070278213969,-165.706556009631,96.7977294921875
25,-177.966510241151,-166.1969541788918,97.63946533203125
26,-203.99275322196968,-167.6506387574717,94.1707763671875
27,-160.7896960084962,-167.39652976676894,100.34598541259766
28,-98.64096661536891,-164.9409739399332,99.62667083740234
29,-165.96847674360862,-164.9764050710944,95.31587219238281
30,-55.193275790031194,-161.3169674283923,100.03001403808594
31,-147.2563317624852,-160.8633985359437,95.00611877441406
32,-68.60151410142859,-157.9802146473651,100.75700378417969
33,-101.16984051415663,-156.25868815848,105.35956573486328
34,-197.39770662045055,-157.46865928971442,100.57381439208984
35,-311.8086562215574,-161.8783734877671,102.04008483886719
36,-36.10996418072369,-158.38480656257147,98.0302963256836
37,-76.74986265575231,-156.17845672725204,96.46403503417969
38,-108.36248344974338,-154.9201416410018,95.77596282958984
39,-84.62792485328669,-153.11777710798347,99.63111114501953
40,-18.68052636163216,-149.75684583932465,104.59928894042969
41,-124.87875707986849,-149.150063186655,99.8434066772461
42,-142.74050205063557,-148.99745458817836,100.75282287597656
